titre,titre original
Avengers: Endgame,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans"
Princess Mononoke,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida"
Once Upon a Time in America,"Sergio Leone (dir.), Robert De Niro, James Woods"
Good Will Hunting,"Gus Van Sant (dir.), Robin Williams, Matt Damon"
Top Gun: Maverick,"Joseph Kosinski (dir.), Tom Cruise, Jennifer Connelly"
Your Name.,"Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi"
Requiem for a Dream,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto"
3 Idiots,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan"
Singin' in the Rain,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor"
Toy Story 3,"Lee Unkrich (dir.), Tom Hanks, Tim Allen"
High and Low,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada"
Star Wars: Episode VI - Return of the Jedi,"Richard Marquand (dir.), Mark Hamill, Harrison Ford"
Capernaum,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw"
2001: A Space Odyssey,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood"
Eternal Sunshine of the Spotless Mind,"Michel Gondry (dir.), Jim Carrey, Kate Winslet"
Reservoir Dogs,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth"
The Hunt,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen"
Come and See,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova"
Citizen Kane,"Orson Welles (dir.), Orson Welles, Joseph Cotten"
M,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann"
Lawrence of Arabia,"David Lean (dir.), Peter O'Toole, Alec Guinness"
North by Northwest,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint"
Vertigo,"Alfred Hitchcock (dir.), James Stewart, Kim Novak"
Amélie,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz"
A Clockwork Orange,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee"
The Apartment,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine"
Ikiru,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko"
Double Indemnity,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck"
Full Metal Jacket,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey"
Hamilton,"Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo"
Scarface,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer"
To Kill a Mockingbird,"Robert Mulligan (dir.), Gregory Peck, John Megna"
The Sting,"George Roy Hill (dir.), Paul Newman, Robert Redford"
Incendies,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin"
Up,"Pete Docter (dir.), Edward Asner, Jordan Nagai"
Heat,"Michael Mann (dir.), Al Pacino, Robert De Niro"
Taxi Driver,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster"
A Separation,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami"
Metropolis,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel"
L.A. Confidential,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe"
Die Hard,"John McTiernan (dir.), Bruce Willis, Alan Rickman"
Snatch,"Guy Ritchie (dir.), Jason Statham, Brad Pitt"
Indiana Jones and the Last Crusade,"Steven Spielberg (dir.), Harrison Ford, Sean Connery"
Bicycle Thieves,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola"
Like Stars on Earth,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan"
1917,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay"
Downfall,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara"
For a Few Dollars More,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef"
Dangal,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar"
Batman Begins,"Christopher Nolan (dir.), Christian Bale, Michael Caine"
The Kid,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance"
Some Like It Hot,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis"
The Father,"Florian Zeller (dir.), Anthony Hopkins, Olivia Colman"
All About Eve,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter"
Green Book,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali"
The Wolf of Wall Street,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill"
Judgment at Nuremberg,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster"
Ran,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao"
Casino,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone"
Pan's Labyrinth,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil"
Unforgiven,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman"
There Will Be Blood,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano"
The Truman Show,"Peter Weir (dir.), Jim Carrey, Ed Harris"
The Sixth Sense,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment"
A Beautiful Mind,"Ron Howard (dir.), Russell Crowe, Ed Harris"
Shutter Island,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer"
Yojimbo,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno"
Spider-Man: No Way Home,"Jon Watts (dir.), Tom Holland, Zendaya"
Monty Python and the Holy Grail,"Terry Gilliam (dir.), Graham Chapman, John Cleese"
The Treasure of the Sierra Madre,"John Huston (dir.), Humphrey Bogart, Walter Huston"
Jurassic Park,"Steven Spielberg (dir.), Sam Neill, Laura Dern"
The Great Escape,"John Sturges (dir.), Steve McQueen, James Garner"
Rashomon,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô"
Kill Bill: Vol. 1,"Quentin Tarantino (dir.), Uma Thurman, David Carradine"
No Country for Old Men,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem"
Finding Nemo,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres"
The Thing,"John Carpenter (dir.), Kurt Russell, Wilford Brimley"
The Elephant Man,"David Lynch (dir.), Anthony Hopkins, John Hurt"
Chinatown,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway"
